Date,TempAvgF,Year,Month
2013-12-21,60,2013,12
2013-12-22,48,2013,12
2013-12-23,45,2013,12
2013-12-24,46,2013,12
2013-12-25,50,2013,12
2013-12-26,48,2013,12
2013-12-27,53,2013,12
2013-12-28,51,2013,12
2013-12-29,50,2013,12
2013-12-30,40,2013,12
2013-12-31,46,2013,12
2014-01-01,54,2014,1
2014-01-02,44,2014,1
2014-01-03,43,2014,1
2014-01-04,57,2014,1
2014-01-05,47,2014,1
2014-01-06,29,2014,1
2014-01-07,35,2014,1
2014-01-08,47,2014,1
2014-01-09,62,2014,1
2014-01-10,65,2014,1
2014-01-11,62,2014,1
2014-01-12,57,2014,1
2014-01-13,57,2014,1
2014-01-14,57,2014,1
2014-01-15,52,2014,1
2014-01-16,56,2014,1
2014-01-17,54,2014,1
2014-01-18,54,2014,1
2014-01-19,59,2014,1
2014-01-20,64,2014,1
2014-01-21,51,2014,1
2014-01-22,54,2014,1
2014-01-23,42,2014,1
2014-01-24,33,2014,1
2014-01-25,48,2014,1
2014-01-26,60,2014,1
2014-01-27,47,2014,1
2014-01-28,33,2014,1
2014-01-29,38,2014,1
2014-01-30,48,2014,1
2014-01-31,68,2014,1
2014-02-01,66,2014,2
2014-02-02,45,2014,2
2014-02-03,40,2014,2
2014-02-04,53,2014,2
2014-02-05,40,2014,2
2014-02-06,29,2014,2
2014-02-07,34,2014,2
2014-02-08,51,2014,2
2014-02-09,59,2014,2
2014-02-10,48,2014,2
2014-02-11,35,2014,2
2014-02-12,45,2014,2
2014-02-13,51,2014,2
2014-02-14,67,2014,2
2014-02-15,59,2014,2
2014-02-16,68,2014,2
2014-02-17,70,2014,2
2014-02-18,69,2014,2
2014-02-19,73,2014,2
2014-02-20,70,2014,2
2014-02-21,57,2014,2
2014-02-22,63,2014,2
2014-02-23,74,2014,2
2014-02-24,66,2014,2
2014-02-25,62,2014,2
2014-02-26,44,2014,2
2014-02-27,45,2014,2
2014-02-28,62,2014,2
2014-03-01,68,2014,3
2014-03-02,51,2014,3
2014-03-03,36,2014,3
2014-03-04,40,2014,3
2014-03-05,46,2014,3
2014-03-06,54,2014,3
2014-03-07,53,2014,3
2014-03-08,52,2014,3
2014-03-09,49,2014,3
2014-03-10,61,2014,3
2014-03-11,70,2014,3
2014-03-12,60,2014,3
2014-03-13,52,2014,3
2014-03-14,62,2014,3
2014-03-15,68,2014,3
2014-03-16,56,2014,3
2014-03-17,55,2014,3
2014-03-18,65,2014,3
2014-03-19,62,2014,3
2014-03-20,59,2014,3
2014-03-21,67,2014,3
2014-03-22,69,2014,3
2014-03-23,54,2014,3
2014-03-24,58,2014,3
2014-03-25,57,2014,3
2014-03-26,60,2014,3
2014-03-27,72,2014,3
2014-03-28,76,2014,3
2014-03-29,64,2014,3
2014-03-30,62,2014,3
2014-03-31,73,2014,3
2014-04-01,76,2014,4
2014-04-02,76,2014,4
2014-04-03,77,2014,4
2014-04-04,64,2014,4
2014-04-05,60,2014,4
2014-04-06,57,2014,4
2014-04-07,62,2014,4
2014-04-08,64,2014,4
2014-04-09,65,2014,4
2014-04-10,72,2014,4
2014-04-11,73,2014,4
2014-04-12,75,2014,4
2014-04-13,73,2014,4
2014-04-14,58,2014,4
2014-04-15,52,2014,4
2014-04-16,57,2014,4
2014-04-17,62,2014,4
2014-04-18,69,2014,4
2014-04-19,66,2014,4
2014-04-20,68,2014,4
2014-04-21,74,2014,4
2014-04-22,75,2014,4
2014-04-23,73,2014,4
2014-04-24,78,2014,4
2014-04-25,76,2014,4
2014-04-26,77,2014,4
2014-04-27,85,2014,4
2014-04-28,80,2014,4
2014-04-29,72,2014,4
2014-04-30,66,2014,4
2014-05-01,65,2014,5
2014-05-02,70,2014,5
2014-05-03,76,2014,5
2014-05-04,76,2014,5
2014-05-05,76,2014,5
2014-05-06,76,2014,5
2014-05-07,79,2014,5
2014-05-08,79,2014,5
2014-05-09,76,2014,5
2014-05-10,76,2014,5
2014-05-11,83,2014,5
2014-05-12,72,2014,5
2014-05-13,61,2014,5
2014-05-14,64,2014,5
2014-05-15,65,2014,5
2014-05-16,74,2014,5
2014-05-17,73,2014,5
2014-05-18,74,2014,5
2014-05-19,76,2014,5
2014-05-20,78,2014,5
2014-05-21,80,2014,5
2014-05-22,79,2014,5
2014-05-23,78,2014,5
2014-05-24,78,2014,5
2014-05-25,80,2014,5
2014-05-26,70,2014,5
2014-05-27,68,2014,5
2014-05-28,76,2014,5
2014-05-29,78,2014,5
2014-05-30,81,2014,5
2014-05-31,82,2014,5
2014-06-01,80,2014,6
2014-06-02,83,2014,6
2014-06-03,83,2014,6
2014-06-04,83,2014,6
2014-06-05,83,2014,6
2014-06-06,83,2014,6
2014-06-07,83,2014,6
2014-06-08,83,2014,6
2014-06-09,77,2014,6
2014-06-10,78,2014,6
2014-06-11,80,2014,6
2014-06-12,80,2014,6
2014-06-13,79,2014,6
2014-06-14,92,2014,6
2014-06-15,83,2014,6
2014-06-16,84,2014,6
2014-06-17,84,2014,6
2014-06-18,85,2014,6
2014-06-19,84,2014,6
2014-06-20,83,2014,6
2014-06-21,84,2014,6
2014-06-22,83,2014,6
2014-06-23,78,2014,6
2014-06-24,84,2014,6
2014-06-25,80,2014,6
2014-06-26,80,2014,6
2014-06-27,83,2014,6
2014-06-28,86,2014,6
2014-06-29,86,2014,6
2014-06-30,87,2014,6
2014-07-01,86,2014,7
2014-07-02,85,2014,7
2014-07-03,84,2014,7
2014-07-04,82,2014,7
2014-07-05,82,2014,7
2014-07-06,84,2014,7
2014-07-07,85,2014,7
2014-07-08,86,2014,7
2014-07-09,85,2014,7
2014-07-10,84,2014,7
2014-07-11,83,2014,7
2014-07-12,85,2014,7
2014-07-13,87,2014,7
2014-07-14,88,2014,7
2014-07-15,83,2014,7
2014-07-16,84,2014,7
2014-07-17,82,2014,7
2014-07-18,75,2014,7
2014-07-19,78,2014,7
2014-07-20,84,2014,7
2014-07-21,87,2014,7
2014-07-22,86,2014,7
2014-07-23,86,2014,7
2014-07-24,84,2014,7
2014-07-25,86,2014,7
2014-07-26,87,2014,7
2014-07-27,87,2014,7
2014-07-28,87,2014,7
2014-07-29,87,2014,7
2014-07-30,86,2014,7
2014-07-31,87,2014,7
2014-08-01,82,2014,8
2014-08-02,79,2014,8
2014-08-03,83,2014,8
2014-08-04,83,2014,8
2014-08-05,85,2014,8
2014-08-06,88,2014,8
2014-08-07,90,2014,8
2014-08-08,89,2014,8
2014-08-09,89,2014,8
2014-08-10,89,2014,8
2014-08-11,89,2014,8
2014-08-12,87,2014,8
2014-08-13,83,2014,8
2014-08-14,84,2014,8
2014-08-15,88,2014,8
2014-08-16,91,2014,8
2014-08-17,90,2014,8
2014-08-18,90,2014,8
2014-08-19,87,2014,8
2014-08-20,90,2014,8
2014-08-21,92,2014,8
2014-08-22,91,2014,8
2014-08-23,88,2014,8
2014-08-24,89,2014,8
2014-08-25,89,2014,8
2014-08-26,89,2014,8
2014-08-27,87,2014,8
2014-08-28,88,2014,8
2014-08-29,87,2014,8
2014-08-30,85,2014,8
2014-08-31,87,2014,8
2014-09-01,90,2014,9
2014-09-02,88,2014,9
2014-09-03,88,2014,9
2014-09-04,86,2014,9
2014-09-05,87,2014,9
2014-09-06,86,2014,9
2014-09-07,82,2014,9
2014-09-08,84,2014,9
2014-09-09,86,2014,9
2014-09-10,88,2014,9
2014-09-11,89,2014,9
2014-09-12,81,2014,9
2014-09-13,63,2014,9
2014-09-14,71,2014,9
2014-09-15,79,2014,9
2014-09-16,84,2014,9
