Date,TempAvgF,Year,Month,DayOfYear,inflection,DayOfYear2
2013-12-21,60,2013,12,1,1,0.0027397225999562153
2013-12-22,48,2013,12,2,1,0.005479424635297034
2013-12-23,45,2013,12,3,1,0.008219085541561418
2013-12-24,46,2013,12,4,1,0.010958684754597053
2013-12-25,50,2013,12,5,1,0.01369820171071469
2013-12-26,48,2013,12,6,1,0.01643761584684252
2013-12-27,53,2013,12,7,1,0.019176906600680502
2013-12-28,51,2013,12,8,1,0.021916053410854716
2013-12-29,50,2013,12,9,1,0.024655035717071696
2013-12-30,40,2013,12,10,1,0.027393832960272764
2013-12-31,46,2013,12,11,1,0.03013242458278834
2014-01-01,54,2014,1,12,1,0.03287079002849224
2014-01-02,44,2014,1,13,1,0.035608908742956004
2014-01-03,43,2014,1,14,1,0.038346760173603146
2014-01-04,57,2014,1,15,1,0.04108432376986344
2014-01-05,47,2014,1,16,1,0.043821578983327183
2014-01-06,29,2014,1,17,1,0.04655850526789941
2014-01-07,35,2014,1,18,1,0.04929508207995412
2014-01-08,47,2014,1,19,1,0.052031288878488506
2014-01-09,62,2014,1,20,1,0.054767105125277105
2014-01-10,65,2014,1,21,1,0.057502510285025975
2014-01-11,62,2014,1,22,1,0.06023748382552683
2014-01-12,57,2014,1,23,1,0.06297200521781117
2014-01-13,57,2014,1,24,1,0.06570605393630431
2014-01-14,57,2014,1,25,1,0.0684396094589796
2014-01-15,52,2014,1,26,1,0.07117265126751228
2014-01-16,56,2014,1,27,1,0.0739051588474336
2014-01-17,54,2014,1,28,1,0.07663711168828477
2014-01-18,54,2014,1,29,1,0.07936848928377097
2014-01-19,59,2014,1,30,1,0.08209927113191513
2014-01-20,64,2014,1,31,1,0.08482943673521204
2014-01-21,51,2014,1,32,1,0.087558965600782
2014-01-22,54,2014,1,33,1,0.09028783724052472
2014-01-23,42,2014,1,34,1,0.09301603117127316
2014-01-24,33,2014,1,35,1,0.09574352691494717
2014-01-25,48,2014,1,36,1,0.0984703039987073
2014-01-26,60,2014,1,37,1,0.10119634195510843
2014-01-27,47,2014,1,38,1,0.10392162032225337
2014-01-28,33,2014,1,39,1,0.10664611864394649
2014-01-29,38,2014,1,40,1,0.10936981646984724
2014-01-30,48,2014,1,41,1,0.11209269335562372
2014-01-31,68,2014,1,42,1,0.11481472886310604
2014-02-01,66,2014,2,43,1,0.11753590256043975
2014-02-02,45,2014,2,44,1,0.1202561940222393
2014-02-03,40,2014,2,45,1,0.1229755828297412
2014-02-04,53,2014,2,46,1,0.12569404857095748
2014-02-05,40,2014,2,47,1,0.12841157084082863
2014-02-06,29,2014,2,48,1,0.1311281292413771
2014-02-07,34,2014,2,49,1,0.1338437033818601
2014-02-08,51,2014,2,50,1,0.1365582728789229
2014-02-09,59,2014,2,51,1,0.1392718173567516
2014-02-10,48,2014,2,52,1,0.14198431644722623
2014-02-11,35,2014,2,53,1,0.14469574979007366
2014-02-12,45,2014,2,54,1,0.14740609703302035
2014-02-13,51,2014,2,55,1,0.150115337831945
2014-02-14,67,2014,2,56,1,0.15282345185103158
2014-02-15,59,2014,2,57,1,0.1555304187629216
2014-02-16,68,2014,2,58,1,0.15823621824886697
